UPC,PriceNet_$,,UPC
0602557372571,11.39,,00602557372571
0094636392820,10.44,,00094636392820
0896710999396,10.08,,00896710999396
0602537534951,23.1,,00602537534951
0602527749921,15.48,,00602527749921
0042282329011,18.44,,00042282329011
0888750441126,9.35,,00888750441126
0602557847543,10.44,,00602557847543
0602547250315,10.44,,00602547250315
0602557084139,17.63,,00602557084139
0644766573882,8.24,,00644766573882
0689289015426,9.1,,00689289015426
4050538428469,10.08,,04050538428469
0888072068544,17.7,,00888072068544
0602557681871,15.4,,00602557681871
0888072040885,11.35,,00888072040885
4050538428858,10.68,,04050538428858
0822685768897,19.17,,00822685768897
4050538426984,15.92,,04050538426984
0887654499226,5.94,,00887654499226
0602547488305,11.39,,00602547488305
0020286227380,11.23,,00020286227380
0050087146931,13.8,,00050087146931
0848064007579,13.82,,00848064007579
0827969240120,5.94,,00827969240120
0888837627719,12.37,,00888837627719
0720642415122,25.33,,00720642415122
